Date,Consumer,Manuf,HiTec,Hlth
2021-05-27,18439.43781489952,14721.999069741118,23462.838022473257,39378.549198075234
2021-05-28,18470.78485918485,14713.165870299272,23502.72484711146,39536.06339486754
2021-06-01,18478.17317312852,14798.502232347008,23422.815582631283,39010.2337517158
2021-06-02,18553.933683138348,14743.747774087324,23479.030340029596,38936.11430758754
2021-06-03,18546.512109665095,14743.747774087324,23248.935842697305,39103.53959911016
2021-06-04,18613.27955325989,14823.364012067397,23674.391368618664,39353.80225254447
2021-06-07,18650.50611236641,14756.658874013096,23752.516860135107,39948.044666557886
2021-06-08,18534.872974469738,14753.707542238293,23781.019880367272,39820.2109236249
2021-06-09,18394.007939863768,14622.399545112372,23783.39798235531,40333.89164453966
2021-06-10,18421.598951773565,14569.758906749967,23999.826903994744,41055.868304976924
2021-06-11,18543.18150485527,14595.984472782116,24124.62600389552,40784.899574164076
2021-06-14,18485.697642190218,14515.706558181815,24373.10965173564,40837.91994361049
2021-06-15,18409.90628185724,14534.576976707453,24202.497884173492,40609.22759192627
2021-06-16,18222.125237782293,14379.057003056681,24096.00689348313,40475.21714087291
2021-06-17,18198.436474973176,14192.129262016944,24404.435781719712,40754.49613914493
2021-06-18,17894.52258584112,13976.408897234287,24184.795859684236,40334.72482891174
2021-06-21,18100.309595578296,14246.15358895091,24414.55142035124,40818.741526858685
2021-06-22,18167.280741081937,14286.042818999971,24648.93111398661,40847.31464592748
2021-06-23,18069.177425080095,14264.613754771472,24651.39600709801,40651.24753562703
2021-06-24,18173.97865414556,14378.730664809644,24796.83924353989,41025.2390129548
2021-06-25,18293.92691326292,14521.08009839126,24772.04240429635,41201.6475407105
2021-06-28,18270.14480827568,14493.490046204315,25086.64734283091,41242.84918825121
2021-06-29,18208.026315927542,14476.09785814887,25181.97660273367,41271.71918268298
2021-06-30,18320.91607908629,14562.954445297764,25091.32148696383,41275.84635460125
2021-07-01,18309.923529438838,14602.274422300066,25131.46760134297,41688.604818147265
2021-07-02,18315.41650649767,14611.035786953445,25422.99262551855,41851.19037693804
2021-07-06,18174.38779939764,14464.92542908391,25547.565289383587,41654.48978216643
2021-07-07,18221.64120767607,14540.143041315148,25593.55090690448,41650.32433318821
2021-07-08,18128.710837516923,14413.643796855706,25342.734108016815,41583.683814255106
2021-07-09,18266.489039882053,14625.524360669484,25593.627175686182,41774.96875980068
2021-07-12,18237.26265741824,14676.713695931829,25585.949087533478,41741.54878479284
2021-07-13,18188.02204824321,14531.414230342103,25588.507682442232,41470.22871769169
2021-07-14,18271.686949665127,14486.366846228042,25588.507682442232,41196.52520815492
2021-07-15,18297.26731139466,14470.431842697191,25365.887665604983,40986.422929593326
2021-07-16,18205.780974837686,14315.59822198033,25216.228928377914,41187.25640194833
2021-07-19,18096.54628898866,14083.685530784249,24943.893655951433,41034.86355326112
2021-07-20,18235.889695413873,14369.584347059168,25350.479122543442,41646.28302020471
2021-07-21,18290.597364500114,14524.775858007406,25583.703530470844,41900.32534662796
2021-07-22,18217.434975042113,14466.676754575376,25788.37315871461,41963.175834647904
2021-07-23,18403.252811787544,14579.516833261065,26180.356430727075,42382.80759299438
2021-07-26,18465.823871347624,14630.54514217748,26175.12035944093,41967.45607858303
2021-07-27,18452.89779463768,14585.19045223673,25858.401403091695,42030.40726270091
2021-07-28,18334.799248752,14617.27787123165,26018.723491790865,42581.0055978423
2021-07-29,18422.806285146005,14744.448188711365,26078.566555821984,42512.875988885746
2021-07-30,18363.85330503354,14753.29485762459,25995.115142843355,42449.10667490242
2021-08-02,18354.671378381023,14678.053053850705,25979.51807375765,42521.27015624975
2021-08-03,18407.899925378326,14849.786274580758,26119.80747135594,43086.80304932788
2021-08-04,18137.303796475262,14665.648924775956,26198.166893770005,43009.24680383909
2021-08-05,18204.411820522222,14733.110909829926,26368.45497857951,43297.408757424804
2021-08-06,18264.486379529946,14803.829842197109,26284.075922648055,43041.954045756
2021-08-09,18319.279838668535,14791.986778323351,26286.704330240318,43304.509965435114
2021-08-10,18398.05274197481,14920.677063294763,26142.127456423998,42949.41298371855
2021-08-11,18447.72748437814,15035.566276682133,26131.670605441428,42369.59590843835
2021-08-12,18420.055893151577,14961.892001926391,26325.044967921698,42712.7896352967
2021-08-13,18567.41634029679,14933.46440712273,26411.91761631584,42832.385446275526
